feat,side,mode,n,y3,mkt,res,lo,hi,res_ex,n_ex,roi_lin,roi_mul,abs_res
rl_f_late_speed_vs_field,最小残差(q3),データ選択,2077,18.391911410688493,20.246788126328536,-1.8548767156400414,-3.5210411477619763,-0.18871228351810632,-0.15022765812637007,2529,62.84683560070981,63.49622466465993,1.8548767156400414
cl_f_jockey_rank,最上位,事前指定,2594,17.694680030840402,20.325816291744385,-2.6311362609039826,-4.099745973877891,-1.1625265479300748,-2.2917070898524323,2015,59.15960276070609,60.85158482211174,2.6311362609039826
cl_f_jockey_rank,最下位,事前指定,1606,17.68368617683686,17.005213219583155,0.678472957253709,-1.187531417274415,2.5444773317818328,2.0901905499418616,3003,74.88024654695512,72.68886592597495,0.678472957253709
cl_f_jockey_rank,最大残差(q2),データ選択,2635,28.083491461100568,26.360060358292888,1.723431102807682,0.007477230740573493,3.4393849748747907,0.4698225725380756,1969,79.84379773833649,74.47008946295367,1.723431102807682
cl_f_jockey_rank,最小残差(q9),データ選択,2594,17.694680030840402,20.325816291744385,-2.6311362609039826,-4.099745973877891,-1.1625265479300748,-2.2917070898524323,2015,59.15960276070609,60.85158482211174,2.6311362609039826
cl_f_jockey_vs_field,最上位,事前指定,2184,22.344322344322347,21.908330248783926,0.4359920955384178,-1.3110362652869616,2.1830204563637974,3.549458956968235,2425,73.7284624538075,71.29106208150333,0.4359920955384178
cl_f_jockey_vs_field,最下位,事前指定,2449,17.72151898734177,20.660825583033766,-2.939306595691993,-4.451666948658099,-1.426946242725887,-2.8957646590050015,2160,57.69579367046304,59.95569597336963,2.939306595691993
cl_f_jockey_vs_field,最大残差(q7),データ選択,2200,24.09090909090909,22.827208234218013,1.2637008566910772,-0.5232730890604804,3.050674802442635,1.9339250301671136,2404,77.66007906928262,73.76962299447095,1.2637008566910772
cl_f_jockey_vs_field,最小残差(q0),データ選択,2449,17.72151898734177,20.660825583033766,-2.939306595691993,-4.451666948658099,-1.426946242725887,-2.8957646590050015,2160,57.69579367046304,59.95569597336963,2.939306595691993
cl_f_trainer_rank,最上位,事前指定,2603,19.78486361890127,20.162057108118084,-0.37719348921681495,-1.9076242313252305,1.1532372528916006,-0.967128581899887,2006,69.86583092622014,68.5923048201446,0.37719348921681495
cl_f_trainer_rank,最下位,事前指定,1769,18.824194460146977,17.913537012955878,0.9106574471910961,-0.9109871862312452,2.7323020806134375,0.6371109446779211,2840,75.98312287415771,73.45345544057658,0.9106574471910961
cl_f_trainer_rank,最大残差(q2),データ選択,1855,23.342318059299192,22.20990524674654,1.1324128125526522,-0.7926014288642884,3.057427053969593,1.3390087988989718,2749,77.03646085962511,73.46397988726339,1.1324128125526522
cl_f_trainer_rank,最小残差(q7),データ選択,2228,21.63375224416517,23.819343232078673,-2.185590987913505,-3.8953264925242603,-0.47585548330274974,-1.0604625810710366,2376,61.27594280741086,63.48618713510929,2.185590987913505
cl_f_trainer_vs_field,最上位,事前指定,2234,22.0680393912265,22.16188455290754,-0.09384516168104151,-1.8135509909308758,1.625860667568793,0.8617399431667366,2375,71.21173548201506,69.60400636345504,0.09384516168104151
cl_f_trainer_vs_field,最下位,事前指定,2346,18.925831202046037,21.15263604708012,-2.2268048450340805,-3.8119199374096344,-0.6416897526585266,-0.8246353993765415,2263,61.08017698608812,62.54140609608,2.2268048450340805
cl_f_trainer_vs_field,最大残差(q7),データ選択,2167,23.165666820489157,21.756485734359373,1.4091810861297822,-0.3671613124464552,3.1855234847060196,1.25747669893381,2437,78.35111015911647,74.42746638970793,1.4091810861297822
cl_f_trainer_vs_field,最小残差(q0),データ選択,2346,18.925831202046037,21.15263604708012,-2.2268048450340805,-3.8119199374096344,-0.6416897526585266,-0.8246353993765415,2263,61.08017698608812,62.54140609608,2.2268048450340805
cl_f_dist_fukusho_rank,最上位,事前指定,2484,17.632850241545896,19.06940237527351,-1.4365521337276144,-2.9352654084102388,0.06216114095501002,-0.17437996424063962,2125,64.83387736479384,64.63423486633415,1.4365521337276144
cl_f_dist_fukusho_rank,最下位,事前指定,1616,15.965346534653465,16.32233940641912,-0.35699287176565175,-2.142879044102266,1.4288933005709623,1.2095769918827937,2993,69.96178385911315,68.37118718003099,0.35699287176565175
cl_f_dist_fukusho_rank,最大残差(q1),データ選択,2021,24.096981692231566,22.799619976019788,1.2973617162117812,-0.5672300474011742,3.161953479824737,-0.11458647359689211,2584,77.81996815200597,73.87750418904284,1.2973617162117812
