drop,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
厩舎,W2,7,128,0.785705981844632,0.8061051946364828,0.4322608411312103,0.013212287969494734,0.1389615535736084,779
厩舎,W1,2026,128,0.7691541937449574,0.7878533193961806,0.45594945549964905,0.012748382097162529,0.14730332791805267,1528
厩舎,W2,2026,128,0.7857840116469944,0.8062902903920594,0.4348466992378235,0.018309447865367024,0.1388564556837082,1124
厩舎,W3,42,128,0.8035824111174106,0.7987914809984201,0.4140823185443878,0.01089280172555239,0.13203389942646027,1205
厩舎,W3,7,128,0.8030161286999599,0.798922441076453,0.41608232259750366,0.010632443798163341,0.13240541517734528,1100
厩舎,W3,2026,128,0.803852914222664,0.7989161355912144,0.41346895694732666,0.011401541071614629,0.1323617845773697,1102
血統,W2,42,128,0.7799030384377224,0.7992750082840059,0.4405258297920227,0.018821250884105793,0.14061275124549866,677
血統,W1,42,128,0.768587576908905,0.7851805497880543,0.4561617374420166,0.015185177177349721,0.14793159067630768,918
血統,W1,2026,128,0.7694073391469803,0.787050749405145,0.4552672207355499,0.014383363926789527,0.14744217693805695,1306
血統,W1,7,128,0.7695479076231341,0.7883138605120272,0.4539455771446228,0.01558206390197019,0.1469256728887558,1514
血統,W2,7,128,0.7822815988613415,0.8006621085807238,0.4366266429424286,0.020405398213229523,0.14011935889720917,480
血統,W2,2026,128,0.7808382800259888,0.7998452397090055,0.4394441545009613,0.016307598808786017,0.1402643322944641,526
血統,W3,2026,128,0.8032468575474946,0.798349369475728,0.4184843897819519,0.01579799950064655,0.13261286914348602,986
血統,W3,7,128,0.8030766008327986,0.7975289288387187,0.4166214168071747,0.010039261728453371,0.13260114192962646,1070
血統,W3,42,128,0.8038414207021483,0.7987046593170577,0.41361185908317566,0.009584663845886379,0.13246461749076843,1322
ローテーション,W1,42,129,0.7697820527001158,0.7880460823166484,0.45493122935295105,0.014500295108200726,0.14746078848838806,1186
ローテーション,W2,42,129,0.7807014721126695,0.7993877366589851,0.4386444091796875,0.017827520566497716,0.1401612013578415,658
ローテーション,W2,7,129,0.7806147464980058,0.8007188257798262,0.4401625394821167,0.016546266097245195,0.1404246687889099,763
ローテーション,W1,7,129,0.7695972406099376,0.7885863961880347,0.45558953285217285,0.013972155030394175,0.14769089221954346,1300
ローテーション,W1,2026,129,0.7697218963138692,0.7879310532314507,0.4548724591732025,0.009619374279315482,0.14762668311595917,1312
ローテーション,W2,2026,129,0.7817830079549477,0.8014260257105418,0.43715396523475647,0.01675749764920937,0.14016397297382355,559
ローテーション,W3,7,129,0.8032501482234927,0.7988751499371632,0.41672247648239136,0.011985275882369344,0.13229775428771973,1108
ローテーション,W3,42,129,0.8028369060854423,0.7988957640235204,0.4163971543312073,0.01242586834010336,0.1326601207256317,1432
ローテーション,W3,2026,129,0.8031860992689166,0.7981783938182964,0.4150182604789734,0.012569247023257277,0.13250532746315002,1489
枠順,W1,42,130,0.76846231048024,0.7864834198401893,0.4547500014305115,0.013126906257348116,0.14751534163951874,972
枠順,W2,7,130,0.7819935675169838,0.80032180538611,0.4359820783138275,0.015848174078047363,0.1399383544921875,529
枠順,W2,42,130,0.7800085042254207,0.7996828543671772,0.44174256920814514,0.021108698232822416,0.140628844499588,833
枠順,W1,2026,130,0.7692056981974799,0.78817249537335,0.45516595244407654,0.014459586393680257,0.14760877192020416,1285
枠順,W1,7,130,0.7692385755456317,0.7887919873151973,0.45556601881980896,0.013239814817233818,0.14762146770954132,1541
枠順,W2,2026,130,0.780855253135561,0.8005145497266279,0.4387592375278473,0.018268316533182543,0.14048120379447937,758
枠順,W3,42,130,0.8031340207444215,0.798901099434107,0.4150398373603821,0.009425043967970791,0.13261882960796356,1427
枠順,W3,7,130,0.8030440756004673,0.7982836469180485,0.41414114832878113,0.008069980281316046,0.13220331072807312,1431
枠順,W3,2026,130,0.8031573416221488,0.7985615733058736,0.41604965925216675,0.013092829833914237,0.1325283646583557,1391
