only,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
ペース適性,W2,7,18,0.6784503448656856,0.6981348278432967,0.49246925115585327,0.016499655024969063,0.15878725051879883,883
ペース適性,W2,42,18,0.6783057246717958,0.6977898178271805,0.49270519614219666,0.017528361629745755,0.15899492800235748,959
ペース適性,W2,2026,18,0.679191906998148,0.6977120376018555,0.4928766191005707,0.018094798993362835,0.15904900431632996,1016
ペース適性,W3,42,18,0.6942518471661271,0.6915360259048735,0.48231008648872375,0.015857552639561855,0.15508586168289185,1017
ペース適性,W3,2026,18,0.6928901749762117,0.6906786011717531,0.4825317859649658,0.01581362181297509,0.15517817437648773,798
ペース適性,W3,7,18,0.6930309109888357,0.6903784843262614,0.4824935793876648,0.01708950497825955,0.1551387459039688,954
距離適性,W1,42,9,0.6899248062136492,0.7077571401288733,0.5000340938568115,0.012001465381747406,0.16217420995235443,720
距離適性,W1,7,9,0.6906514329298705,0.7091858285526318,0.5014801621437073,0.015543358475707134,0.16237536072731018,822
距離適性,W1,2026,9,0.6897016881110216,0.7080177821033093,0.5025445222854614,0.016501783215331894,0.16242076456546783,716
距離適性,W2,42,9,0.6988400251406629,0.7124268559938548,0.5018132925033569,0.021863336359744065,0.15601004660129547,1386
距離適性,W2,7,9,0.6991704660081162,0.7121357390839396,0.5002297759056091,0.02106475673909159,0.15578041970729828,1348
距離適性,W3,42,9,0.7173786703913939,0.7140246602677308,0.4658054709434509,0.017646723181284713,0.1490800678730011,1116
斤量・馬体,W1,42,7,0.5903755549961016,0.5917938896278087,0.5299593210220337,0.009832404610130255,0.1738504320383072,365
距離適性,W2,2026,9,0.6991770227435948,0.7118154398807104,0.5013654828071594,0.022072032975555444,0.15590299665927887,1758
距離適性,W3,2026,9,0.716524000760003,0.7131971865894939,0.4674336910247803,0.014386705531660764,0.14958272874355316,909
距離適性,W3,7,9,0.7176088269474507,0.7140470932440606,0.4666334092617035,0.017975510258978873,0.1493823230266571,1290
斤量・馬体,W1,7,7,0.590739411220642,0.5920682093590518,0.5291193723678589,0.009536888488285022,0.17352087795734406,439
斤量・馬体,W1,2026,7,0.5898378118682817,0.5902505119388977,0.5297892689704895,0.00839577656014718,0.17378593981266022,419
斤量・馬体,W3,42,7,0.5922218148354739,0.5957062313230315,0.5251508951187134,0.008631241432605574,0.165833979845047,200
斤量・馬体,W3,7,7,0.592312713798558,0.5964204487856363,0.5235896706581116,0.011806267506903619,0.16594186425209045,158
斤量・馬体,W2,7,7,0.5772824275211019,0.5878585891961502,0.5180836319923401,0.019808035876471244,0.16824892163276672,906
