win,period,race_id,field,p1,top3sum,resid,n_eff,ax_hit,top3_hits,rand3,cut5,cut10,cut15,cut20
T3,探索,20251115_08_07,16,0.74675983,1.9704398,1.555846,7.640372,1,3,0.5625,2,7,8,10
T3,探索,20251115_08_09,15,0.7097373,1.5147748,1.5446168,8.297935,1,1,0.6,1,6,8,8
T3,探索,20251115_08_10,16,0.43234423,0.95444745,1.7065576,12.076977,0,1,0.5625,0,3,10,12
T3,探索,20251115_08_11,8,0.7121182,1.8280786,1.5927484,6.833735,1,2,1.125,0,0,0,0
T3,探索,20251115_08_12,18,0.47735873,1.1003621,1.8070097,11.865459,1,2,0.5,3,7,10,12
T3,探索,20251116_03_01,16,0.8118703,1.471351,1.4100459,7.7024612,1,2,0.5625,1,7,10,12
T3,探索,20251116_03_02,15,0.48354653,1.2566396,1.5983943,9.820615,1,3,0.6,2,4,7,8
T3,探索,20251116_03_03,15,0.47692016,1.3249457,1.6817452,9.865497,0,0,0.6,3,5,7,8
T3,探索,20251116_03_04,9,0.7097373,1.7604065,1.0833198,6.08649,1,2,1.0,0,2,3,3
T3,探索,20251116_03_05,10,0.4188658,1.0066254,1.1860305,8.443826,0,1,0.9,0,1,3,6
T3,探索,20251116_03_06,8,0.44757393,0.84048396,0.5324148,5.595022,1,3,1.125,0,3,5,6
T3,探索,20251116_03_07,16,0.67394614,1.4295442,1.672762,9.227024,1,1,0.5625,2,6,9,10
T3,探索,20251116_03_08,8,0.4214007,0.81587756,0.6669775,6.314277,1,2,1.125,0,1,4,6
T3,探索,20251116_03_09,16,0.6504629,1.2692397,1.8708004,10.436726,1,1,0.5625,0,5,7,11
T3,探索,20251116_03_10,16,0.6504629,1.4185201,1.8067784,9.378802,1,1,0.5625,3,6,7,8
T3,探索,20251116_03_11,8,0.46875802,0.981602,0.42912367,5.035573,1,3,1.125,1,3,5,5
T3,探索,20251116_03_12,16,0.38973594,1.0918379,1.5823524,10.452658,0,0,0.5625,3,6,10,10
T3,探索,20251116_05_01,15,0.74675983,2.0311484,1.5452523,7.243885,0,2,0.6,3,7,8,9
T3,探索,20251116_05_02,18,0.74675983,2.1439826,1.6202404,7.238251,0,2,0.5,5,11,11,12
T3,探索,20251116_05_03,18,0.74675983,1.655411,1.487231,7.8556533,1,3,0.5,4,11,13,13
